Order Date,Region,Category,Sales,Profit
1/1/2022,East,Furniture,728,250.88
1/2/2022,East,Technology,932.14,-18.01
1/3/2022,West,Office Supplies,670.23,223.95
1/6/2022,East,Technology,690.55,80.22
1/6/2022,South,Technology,70.65,182.9
1/8/2022,West,Furniture,562.78,-79.43
1/9/2022,East,Technology,111.24,29.47
1/12/2022,South,Office Supplies,818.18,-89.16
1/16/2022,East,Furniture,193.57,50.78
1/17/2022,Central,Technology,144.52,-92.76
1/20/2022,East,Office Supplies,737.35,23.81
1/21/2022,East,Office Supplies,466.95,235.33
1/24/2022,South,Furniture,443.31,294.91
1/25/2022,Central,Office Supplies,799.28,80.34
1/25/2022,Central,Technology,429.06,185.34
1/25/2022,West,Furniture,534.26,224.22
1/31/2022,West,Office Supplies,101.83,138.97
2/3/2022,South,Technology,400.9,181.63
2/5/2022,East,Technology,865.84,83.65
2/6/2022,West,Office Supplies,36.26,258.71
2/8/2022,Central,Furniture,504.53,219.94
2/9/2022,East,Office Supplies,89.76,-89.85
2/12/2022,West,Technology,189.74,-28.79
2/13/2022,Central,Furniture,863.52,198.99
2/14/2022,East,Office Supplies,109.38,257.82
2/14/2022,West,Office Supplies,766.28,233.97
2/14/2022,East,Office Supplies,964.35,262.59
2/15/2022,Central,Furniture,731.57,69.65
2/15/2022,South,Office Supplies,459.48,74.45
2/15/2022,East,Technology,384.58,232.09
2/17/2022,West,Technology,64.4,298.75
2/17/2022,Central,Office Supplies,757.33,-43.95
2/19/2022,East,Technology,131.2,3.16
2/19/2022,Central,Furniture,826.15,102.36
2/21/2022,West,Technology,336.74,78.96
2/22/2022,West,Furniture,712.12,-52.9
2/22/2022,South,Technology,525.97,273.75
2/23/2022,West,Technology,91.31,-92.64
2/23/2022,Central,Furniture,627.73,177.88
2/23/2022,Central,Furniture,702.11,113.38
2/24/2022,Central,Technology,133.55,3.3
2/25/2022,West,Furniture,540.73,-38.98
2/25/2022,East,Furniture,422.18,-17.47
2/25/2022,Central,Technology,96.89,235.56
2/26/2022,West,Technology,465.45,-57.36
2/26/2022,South,Furniture,92.32,138.03
2/28/2022,South,Furniture,907.24,-27.23
3/3/2022,West,Office Supplies,338.68,-3.94
3/3/2022,Central,Office Supplies,854.11,151.08
3/3/2022,West,Office Supplies,806.15,74.99
3/4/2022,Central,Technology,119.1,110.28
3/5/2022,East,Furniture,567.24,166.01
3/8/2022,South,Furniture,330.58,33.96
3/9/2022,South,Office Supplies,198.19,-81.91
3/12/2022,East,Office Supplies,599.08,14.04
3/14/2022,West,Technology,779.63,240.87
3/14/2022,East,Office Supplies,296.22,-11.21
3/14/2022,South,Furniture,305.4,-39.83
3/15/2022,Central,Technology,34.11,-43.66
3/17/2022,West,Furniture,133.75,-29.45
3/17/2022,East,Furniture,896.93,124.38
3/18/2022,South,Office Supplies,689.35,63.49
3/18/2022,West,Furniture,642.39,-65.86
3/19/2022,Central,Office Supplies,701.83,208.36
3/20/2022,East,Technology,482.77,-39.24
3/21/2022,Central,Technology,713.91,190.29
3/21/2022,South,Technology,970.19,108.07
3/24/2022,West,Office Supplies,751.56,286.01
3/26/2022,Central,Technology,179.68,259.22
3/27/2022,West,Technology,241.97,109.8
3/28/2022,South,Technology,178.4,34.64
3/28/2022,Central,Furniture,951.7,114.44
3/28/2022,East,Office Supplies,941.65,85.07
3/30/2022,East,Office Supplies,640.44,-3.04
4/4/2022,Central,Technology,599.02,278.91
4/4/2022,Central,Furniture,383.23,231.9
4/7/2022,West,Office Supplies,295.32,40.24
4/8/2022,South,Furniture,990.25,24.69
4/10/2022,South,Office Supplies,157.28,-0.6
4/12/2022,East,Furniture,871.23,18.85
4/13/2022,East,Technology,295.34,73.93
4/13/2022,East,Furniture,265.24,34.08
4/18/2022,West,Furniture,334.36,-1.62
4/19/2022,South,Office Supplies,162,134.74
4/19/2022,West,Technology,583.96,-73.72
4/19/2022,South,Office Supplies,868.85,229.01
4/21/2022,West,Technology,910.1,-65.23
4/29/2022,South,Technology,652.27,64.16
4/29/2022,South,Office Supplies,973.55,-44.09
5/1/2022,West,Office Supplies,325.48,-54.58
5/1/2022,Central,Technology,951.06,7.23
5/3/2022,West,Office Supplies,160.13,-44.26
5/3/2022,West,Office Supplies,591.98,266.93
5/3/2022,Central,Technology,29.01,295.98
5/5/2022,East,Furniture,697.12,-55.18
5/5/2022,Central,Office Supplies,505.27,142.47
5/6/2022,West,Furniture,638.52,-34.54
5/7/2022,South,Furniture,532.28,167.02
5/7/2022,East,Technology,811.96,-67.3
5/8/2022,South,Office Supplies,780.88,58.87
5/9/2022,South,Technology,703.08,204.98
5/10/2022,South,Office Supplies,740.37,219.97
5/13/2022,West,Furniture,95.44,176.16
5/19/2022,South,Furniture,717.94,39.55
5/23/2022,East,Office Supplies,650.42,81.32
5/25/2022,East,Furniture,706.95,8.92
5/28/2022,Central,Office Supplies,45.98,-85.38
5/28/2022,Central,Furniture,951.6,149.66
5/28/2022,South,Furniture,762.69,80.98
